Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
PNH000200,14-Aug-96,19,0.038,0.8,0.48,7.7,11.2,99,0.018,,15,58,0.923,0.06,7.5,1,8.6,0.481,0.045,7,0.068,0.015,,0.042,0.008,0
PNH000900,14-Aug-96,27,0.124,2,0.25,15.6,11.2,98,0.035,,300,1200,1.39,1.16,7.5,14,9.5,1.864,0.189,21,0.043,0.009,,0.042,0.008,0
STY000300,14-Aug-96,28,0.0015,0.25,5.19,7.8,11.7,99,0.01,,1,9,4.786,0.02,7.8,1,7.2,0.131,0.021,0.7,0.015,0.003,,0.055,0.012,0.001
WGG000500,14-Aug-96,24,0.032,1,1.21,11.9,11.1,101,0.012,,52,130,3.13,1.5,7.7,3,10,1.728,0.043,2,0.013,0.003,,0.054,0.012,0
WKH000500,14-Aug-96,26,0.006,0.8,5.7,11.8,11.6,99,0.019,,20,140,5.562,0.11,8,1,7.8,0.251,0.029,0.8,0.011,0.002,,0.08,0.015,0
MGH000950,12-Sep-96,21,0.081,3.3,0.04,6.1,9.8,93,0.012,,2000,10000,60,0.17,7.1,500,12.2,2.072,0.554,200,0.06,0.012,,0.061,0.015,0
MRK000420,12-Sep-96,15,0.197,6.7,0.055,5.6,10.1,95,0.03,,7400,53000,34.1,0.33,6.9,150,12.1,2.136,0.642,59,0.059,0.013,,0.064,0.015,0.001
PAT000200,12-Sep-96,7,0.01,0.3,0.84,2.9,10.8,97,0.005,,5,7,1.986,0.04,6.9,5,8.3,0.211,0.018,0.9,0.058,0.01,,0.05,0.011,0.001
PAT000360,12-Sep-96,14,0.178,3.5,0.155,5,10.2,96,0.033,,2000,9200,25,0.42,7.1,40,11.5,1.187,0.263,16,0.048,0.01,,0.056,0.011,0
PNH000200,12-Sep-96,9,0.016,1.1,0.215,4.2,10.9,97,0.007,,100,600,2.5,0.06,7,23,9,0.481,0.076,10,0.091,0.018,,0.056,0.012,0
PNH000900,12-Sep-96,15,0.12,4,0.055,7.1,11,98,0.021,,2200,8300,9.86,0.33,7.2,180,10.1,1.437,0.449,50,0.069,0.013,,0.061,0.012,0
STY000300,12-Sep-96,10,0.018,1,0.043,3.2,11.2,99,0.009,,9,50,22.897,0.02,7.1,400,9.1,0.461,0.578,110,0.046,0.01,,0.036,0.007,0
WGG000500,12-Sep-96,16,0.265,4.4,0.12,5.9,10.4,94,0.081,,2300,17000,21.5,0.56,7.2,110,10,1.716,0.424,24,0.043,0.008,,0.051,0.011,0
WKH000500,12-Sep-96,8,0.098,3.1,0.155,3.7,10.8,98,0.026,,1700,4800,60.49,0.08,6.8,49,10,0.962,0.191,14,0.065,0.015,,0.051,0.01,0
MGH000950,09-Oct-96,18,0.01,1.9,0.13,5.3,9.6,92,0.009,,620,4500,29.12,0.12,7.2,120,12.9,0.521,0.131,45,0.094,0.026,,0.044,0.009,0
MRK000420,09-Oct-96,27,0.047,1,1.28,11,10.4,97,0.005,,290,3100,2.63,0.84,7.5,3,11.8,1.287,0.037,1.9,0.034,0.007,,0.097,0.022,0.002
PAT000200,09-Oct-96,11,0.0015,0.25,3.2,3.8,11.1,99,0.007,,15,27,0.6275,0.02,7.2,1,7.8,0.161,0.014,0.5,0.04,0.009,,0.052,0.011,0
PAT000360,09-Oct-96,20,0.104,1.5,1.94,8.2,10.6,100,0.03,,110,2300,5.555,0.81,7.5,1,11.3,1.06,0.056,1.2,0.028,0.006,,0.058,0.014,0.001
PNH000200,09-Oct-96,12,0.016,0.8,1.21,5.2,10.7,97,0.009,,31,230,2.157,0.09,7.2,4,9.7,0.581,0.031,1.4,0.11,0.023,,0.06,0.012,0
PNH000900,09-Oct-96,23,0.114,1.6,0.61,12.4,10.8,98,0.03,,240,2600,4.94,0.89,7.5,16,11.1,1.362,0.093,3,0.066,0.014,,0.106,0.025,0.003
STY000300,09-Oct-96,24,0.0015,0.25,0.23,6.6,11.2,99,0.011,,3,9,6.805,0.03,7.6,31,9.1,0.141,0.068,16,0.018,0.005,,0.064,0.013,0
WGG000500,09-Oct-96,22,0.086,1.9,0.74,9.3,10.6,98,0.027,,400,6000,4.05,1.16,7.5,4,11,1.592,0.07,2.1,0.028,0.006,,0.056,0.012,0.001
WKH000500,09-Oct-96,29,0.016,0.8,1.77,8.3,11,98,0.011,,160,1100,8.018,0.36,7.7,1,9.5,0.532,0.023,0.8,0.023,0.005,,0.065,0.014,0.001
MGH000950,13-Nov-96,32,0.043,2,0.22,9.2,9.8,97,0.009,,670,4700,13.2,0.06,7.4,30,14,0.511,0.111,16,0.055,0.011,,0.034,0.007,0
MRK000420,13-Nov-96,41,0.022,1.8,1.25,15.1,9.4,93,0.005,,400,7300,0.76,0.66,7.6,3,14.3,2.866,0.04,2.2,0.036,0.006,,0.05,0.01,0.001
PAT000200,13-Nov-96,6,0.004,0.5,2.28,3.4,10.5,95,0.006,,14,230,2.39,0.03,6.9,2,8.5,0.171,0.017,1,0.055,0.009,,0.046,0.01,0.001
PAT000360,13-Nov-96,10,0.139,4.3,0.19,6.1,10.1,96,0.044,,3100,63000,13.5,0.21,7.1,34,11.8,1.156,0.217,11,0.053,0.011,,0.067,0.017,0.003
PNH000200,13-Nov-96,8,0.034,1.8,0.13,5.3,10.3,96,0.01,,740,2100,3.88,0.06,7,43,10.7,0.711,0.134,14,0.094,0.018,,0.051,0.011,0.001
PNH000900,13-Nov-96,35,0.039,2.1,1.07,16.5,10.3,102,0.049,,650,3000,1.036,0.6,7.9,4,14.7,1.05,0.108,1.9,0.036,0.006,,0.063,0.014,0.001
STY000300,13-Nov-96,15,0.008,0.8,0.066,5.6,10.9,98,0.032,,21,160,30.4,0.02,7.3,430,9.9,0.161,0.457,75,0.028,0.005,,0.054,0.011,0.001
WGG000500,13-Nov-96,16,0.161,7.3,0.12,7.6,9.8,93,0.053,,5000,100000,12.8,0.44,7.3,100,12,2.249,0.477,21,0.049,0.01,,0.045,0.01,0.001
WKH000500,13-Nov-96,31,0.104,4.3,0.13,9.6,10.3,97,0.051,,6000,83000,45.2,0.14,7.5,83,11.6,1.444,0.39,19,0.035,0.006,,0.05,0.01,0
MGH000950,11-Dec-96,38,0.005,0.6,1.2,9.4,9.5,101,0.002,,20,280,7.25,0.08,7.7,2,17.5,0.232,0.013,2.6,0.043,0.009,,0.064,0.013,0
MRK000420,11-Dec-96,40,0.009,0.6,2.96,8.6,9.6,98,0.002,,580,700,1.14,0.049,7.6,1,16.2,0.282,0.013,1,0.02,0.004,,0.055,0.013,0.001
PAT000200,11-Dec-96,22,0.0015,0.25,4.34,6.5,10.3,101,0.014,,3,56,0.196,0.005,7.6,1,11.9,0.091,0.022,0.4,0.012,0.002,,0.073,0.016,0.001
PAT000360,11-Dec-96,28,0.046,0.8,1.65,9.9,10,103,0.021,,31,230,1.525,0.68,7.7,1,15.2,0.876,0.042,1.2,0.018,0.004,,0.035,0.007,0
PNH000200,11-Dec-96,24,0.003,0.25,1.86,8.6,9.6,101,0.016,,7,140,0.363,0.005,7.7,1,16.1,0.071,0.034,1,0.026,0.005,,0.062,0.013,0.001
PNH000900,11-Dec-96,37,0.01,0.6,2.65,15.9,9.8,103,0.024,,160,380,0.664,0.3,7.8,1,17.6,0.518,0.049,1,0.033,0.006,,0.038,0.007,0
STY000300,11-Dec-96,44,0.0015,0.25,7.1,10.8,10.4,102,0.017,,1,9,2.928,0.01,7.9,1,13.4,0.021,0.021,0.3,0.006,0.002,,0.14,0.056,0.025
WGG000500,11-Dec-96,30,0.012,0.5,1.8,11.6,9.9,101,0.012,,29,340,2.24,0.82,7.7,3,15.2,1.026,0.038,1.4,0.016,0.003,,0.027,0.005,0
WKH000500,11-Dec-96,54,0.006,0.25,2.81,13.4,10.2,102,0.023,,46,300,4.117,0.07,7.9,1,14.3,0.111,0.032,0.5,0.01,0.002,,0.062,0.013,0
MGH000950,08-Jan-97,47,0.003,0.7,2.01,11.1,9.6,106,0.0015,,41,210,5,0.03,7.9,1,19.5,0.131,0.008,2.2,0.064,0.013,,0.063,0.013,0
MRK000420,08-Jan-97,56,0.005,0.9,2.66,17.1,9.3,97,0.0015,,130,410,0.479,0.29,7.7,1,16.8,0.492,0.008,0.95,0.023,0.005,,0.09,0.019,0.001
PAT000200,08-Jan-97,22,0.0015,0.25,4.54,6.2,10.1,99,0.011,,9,46,0.24,0.005,7.4,1,11.7,0.211,0.018,0.35,0.013,0.003,,0.062,0.015,0.001
PAT000360,08-Jan-97,27,0.025,0.8,0.136,9.6,9.8,104,0.019,,80,1200,2.9,0.47,7.7,33,16.6,0.804,0.143,9.6,0.017,0.003,,0.059,0.016,0.002
PNH000200,08-Jan-97,23,0.004,0.7,1.42,8.4,9.8,101,0.016,,40,1600,0.446,0.01,7.6,2,15.1,0.101,0.028,1.1,0.034,0.007,,0.049,0.01,0
PNH000900,08-Jan-97,35,0.007,0.8,2.3,13.6,9.9,105,0.026,,250,820,0.676,0.17,8,1,17.9,0.353,0.047,0.85,0.039,0.007,,0.04,0.008,0
STY000300,08-Jan-97,44,0.0015,0.25,6.45,11,10.4,101,0.012,,1,11,3.04,0.01,7.9,1,13.2,0.021,0.02,0.35,0.005,0.001,,0.015,0.003,0
WGG000500,08-Jan-97,30,0.011,0.7,2.28,10.9,10.1,107,0.01,,32,280,1.89,0.83,7.8,2,17,0.999,0.031,1,0.018,0.004,,0.014,0.002,0
WKH000500,08-Jan-97,55,0.0015,0.5,3.74,13.5,10.4,104,0.021,,44,340,3.627,0.01,8.1,1,14.5,0.061,0.03,0.5,0.011,0.002,,0.014,0.002,0
MGH000950,12-Feb-97,48,0.009,0.7,1.74,11.6,9.2,101,0.003,,180,450,3.15,0.06,7.8,2,19,0.222,0.01,2.2,0.055,0.011,,0.011,0.003,0
MRK000420,12-Feb-97,73,0.016,1.8,1,21.4,8.8,93,0.003,,1800,6700,0.814,0.46,7.8,11,17.7,0.756,0.044,2.5,0.026,0.005,,0.014,0.004,0
PAT000200,12-Feb-97,24,0.0015,0.25,4.37,6.8,9.7,98,0.021,,46,60,0.159,0.005,7.6,4,13,0.091,0.025,0.95,0.017,0.003,,0.066,0.014,0
PAT000360,12-Feb-97,31,0.018,1,1.07,10.3,9.9,105,0.054,,300,570,1.525,0.62,8.1,3,16.9,0.855,0.077,1.8,0.028,0.006,,0.018,0.003,0
PNH000200,12-Feb-97,20,0.006,0.7,0.45,7.4,9.5,98,0.019,,120,610,0.564,0.02,7.6,2,15.5,0.261,0.034,1.6,0.065,0.014,,0.04,0.01,0
PNH000900,12-Feb-97,32,0.01,1.8,0.71,12.5,9.5,101,0.036,,950,6300,0.962,0.15,7.8,10,18.2,0.518,0.097,3,0.042,0.008,,0.014,0.003,0
STY000300,12-Feb-97,23,0.005,0.25,1.34,6.5,9.9,100,0.014,,48,54,7.14,0.02,7.6,7,15,0.131,0.017,1.4,0.026,0.005,,0.013,0.003,0
WGG000500,12-Feb-97,34,0.008,0.7,2.37,11.5,10.1,107,0.016,,180,510,0.91,0.83,8,2,17.1,1.018,0.029,1.2,0.021,0.004,,0.015,0.004,0
WKH000500,12-Feb-97,23,0.006,0.9,1.51,7.1,9.7,98,0.016,,680,1100,7.9,0.1,7.6,2,14.9,0.282,0.027,0.9,0.073,0.017,,0.015,0.002,0
MGH000950,12-Mar-97,48,0.01,0.6,1.5,11.8,9.6,101,0.004,,36,180,3.2,0.03,7.8,1,17.1,0.231,0.011,2.1,0.065,0.012,,0.011,0.002,0
MRK000420,12-Mar-97,55,0.022,0.25,2.67,16.8,10,98,0.006,,200,480,0.464,0.42,7.7,1,14.1,0.603,0.01,1.1,0.022,0.003,,0.011,0.003,0
PAT000200,12-Mar-97,24,0.009,0.25,3.59,6.8,10.3,98,0.018,,180,28,0.17,0.02,7.6,1,10.3,0.091,0.019,0.5,0.015,0.002,,0.01,0.002,0
PAT000360,12-Mar-97,31,0.018,0.8,2.09,10.1,10.8,108,0.065,,250,250,0.99,0.57,8.2,1,14,0.804,0.088,1.4,0.027,0.005,,0.013,0.003,0
PNH000200,12-Mar-97,24,0.006,0.25,1.4,8.9,10.4,100,0.02,,72,540,0.395,0.03,7.7,1,12.2,0.171,0.031,1.5,0.033,0.006,,0.013,0.003,0
PNH000900,12-Mar-97,35,0.022,1.4,1.4,14.5,10.2,99,0.042,,970,630,0.603,0.22,7.8,2,14,0.485,0.065,1.4,0.041,0.007,,0.015,0.003,0
STY000300,12-Mar-97,48,0.0015,0.25,5.18,11.8,10.4,97,0.017,,40,13,3,0.02,8,1,11.5,0.131,0.018,0.4,0.007,0.001,,0.017,0.004,0
WGG000500,12-Mar-97,36,0.078,1.1,1.44,11.6,10.4,103,0.024,,390,540,0.58,0.68,7.9,2,13.9,1.067,0.058,1.5,0.025,0.005,,0.018,0.004,0
WKH000500,12-Mar-97,58,0.018,0.25,4.07,14.2,10.8,101,0.018,,240,150,3.349,0.04,8.1,1,11.4,0.131,0.019,0.5,0.012,0.002,,0.017,0.004,0
MGH000950,09-Apr-97,30,0.013,2.5,0.06,9,8.3,85,0.002,,6000,9000,33,0.1,7.3,240,16,0.921,0.336,84,0.09,0.018,,0.016,0.003,0
MRK000420,09-Apr-97,37,0.308,7.4,0.14,13,8.7,90,0.024,,37000,26000,1.9,0.77,7.5,43,16.8,3.003,0.338,16,0.068,0.015,,0.016,0.004,0
PAT000200,09-Apr-97,9.5,0.0015,0.8,2.08,3.8,9.7,95,0.006,,63,32,0.846,0.01,7.2,1,11.8,0.151,0.015,0.9,0.07,0.014,,0.01,0.001,0
PAT000360,09-Apr-97,18,0.21,3.6,0.34,7.4,9.2,92,0.054,,5700,6800,4.45,0.51,7.4,15,14.1,1.453,0.181,5.5,0.078,0.017,,,,
PNH000200,09-Apr-97,14,0.008,1,0.44,6.5,9.6,96,0.018,,280,680,1.208,0.04,7.4,4,13.8,0.251,0.046,2,0.095,0.019,,,,
PNH000900,09-Apr-97,15,0.031,2.1,0.37,7.4,9.4,93,0.032,,2300,1600,1.924,0.15,7.3,11,14.9,0.556,0.115,3.9,0.111,0.023,,,,
STY000300,09-Apr-97,17,0.0015,0.5,0.57,5,10,97,0.004,,180,100,8.484,0.1,7.5,22,13,0.211,0.029,2.4,0.04,0.008,,,,
WGG000500,09-Apr-97,15,0.156,3,0.35,6.4,9.5,94,0.026,,5100,5200,3.85,0.38,7.3,13,14,0.994,0.125,4,0.082,0.018,,,,
WKH000500,09-Apr-97,16,0.018,1.2,0.5,5.8,9.6,95,0.015,,1300,1300,12.56,0.11,7.4,4,14.1,0.352,0.04,1.2,0.088,0.019,,,,
MGH000950,14-May-97,50,0.007,0.25,1.48,12.2,10.9,102,0.012,,72,150,4.313,0.08,8,3,11.7,0.202,0.025,3.2,0.045,0.009,,,,
MRK000420,14-May-97,67,0.011,0.7,3.04,21.2,10.2,94,0.012,,780,1500,0.383,0.52,7.8,1,11.3,0.694,0.014,1.2,0.022,0.004,,,,
PAT000200,14-May-97,25,0.004,0.25,2.4,7.3,11,98,0.033,,3,25,0.162,0.02,7.6,1,7.9,0.141,0.048,0.55,0.016,0.003,,,,
PAT000360,14-May-97,31,0.052,1.2,1.32,10.9,11.3,104,0.067,,390,750,1.014,1,8.1,1,10.6,1.285,0.102,1.5,0.024,0.006,,,,
PNH000200,14-May-97,24,0.005,0.6,1.42,8.8,11,100,0.036,,60,440,0.316,0.01,7.8,1,9.9,0.351,0.074,1.5,0.027,0.006,,,,
PNH000900,14-May-97,36,0.027,2.2,1.46,14.8,11.2,103,0.045,,190,300,0.525,0.38,7.9,1,11.6,0.808,0.104,1.4,0.035,0.007,,,,
STY000300,14-May-97,43,0.0015,0.25,1.8,10.8,11.1,99,0.019,,40,16,3.986,0.005,8,1,9.6,0.061,0.042,1,0.009,0.003,,0.038,0.008,0
WGG000500,14-May-97,35,0.006,0.25,2.24,11.9,12.2,113,0.018,,88,200,0.645,0.7,8.5,1,11,0.851,0.04,1.2,0.023,0.005,,0.056,0.013,0.001
WKH000500,14-May-97,67,0.0015,0.25,2.11,15.8,11.4,103,0.036,,43,68,3.039,0.02,8.2,1,9.8,0.091,0.039,0.6,0.012,0.003,,0.047,0.009,0.001
MGH000950,11-Jun-97,40,0.008,0.25,0.96,10.6,11.2,100,0.0015,,75,220,9.337,0.17,7.6,4,9.7,0.303,0.016,3.7,0.037,0.006,,0.065,0.017,0.004
MRK000420,11-Jun-97,40,0.02,1.1,1.38,15.3,10.6,97,0.005,,670,600,1.59,0.85,7.6,4,11.1,1.126,0.026,2.4,0.021,0.003,,0.07,0.017,0.002
PAT000200,11-Jun-97,19,0.0015,0.5,2.76,5.7,11,98,0.012,,3,7,0.324,0.01,7.4,1,7.8,0.061,0.019,0.65,0.022,0.004,,0.044,0.009,0
PAT000360,11-Jun-97,27,0.09,1.2,1.03,10.4,10.9,101,0.045,,220,350,2.544,0.94,7.7,1,10.8,1.235,0.074,1.9,0.019,0.003,,0.062,0.012,0
PNH000200,11-Jun-97,24,0.004,0.6,1.39,9,11.6,102,0.027,,8,240,0.385,0.04,7.7,4,8.4,0.161,0.049,2.8,0.026,0.004,,0.058,0.012,0.001
PNH000900,11-Jun-97,33,0.012,0.5,1.88,15.6,11.4,101,0.023,,69,270,0.804,0.64,7.7,1,10,0.817,0.042,1.7,0.028,0.004,,0.032,0.006,0
STY000300,11-Jun-97,27,0.0015,0.25,2.42,7.6,11.4,100,0.01,,21,19,5.279,0.02,7.7,2,8.8,0.071,0.015,0.7,0.023,0.004,,0.058,0.012,0.001
WGG000500,11-Jun-97,30,0.0015,0.25,1.86,10.6,11.4,104,0.01,,50,320,1.716,0.83,7.8,3,10.1,0.985,0.03,1.5,0.016,0.002,,0.061,0.014,0.001
WKH000500,11-Jun-97,29,0.006,0.9,1.8,8.6,11.2,99,0.018,,250,720,7.549,0.1,7.6,1,9.2,0.252,0.031,1,0.046,0.009,,0.046,0.01,0.001
MGH000950,10-Jul-97,39,0.02,0.8,0.19,10.4,11.4,98,0.005,,380,2100,14.57,0.2,7.6,42,8.3,0.503,0.085,24,0.041,0.008,,0.018,0.004,0
MRK000420,10-Jul-97,42,0.026,0.8,0.96,15.5,9.9,92,0.004,,125,820,0.994,0.81,7.6,5,11.8,1.053,0.033,2.7,0.015,0.003,,0.013,0.006,0
PAT000200,10-Jul-97,5,0.0015,0.6,0.36,2.6,10.9,96,0.009,,14,88,9,0.07,6.8,8,7.5,0.291,0.031,1.8,0.104,0.022,,0.014,0.002,0
PAT000360,10-Jul-97,13,0.162,6.9,0.09,5.3,10.7,98,0.032,,2500,7700,40,0.48,7,170,10.1,2.55,0.725,55,0.088,0.021,,0.022,0.007,0
PNH000200,10-Jul-97,8,0.018,2.3,0.12,4,10.9,97,0.014,,210,2000,12.38,0.12,6.9,58,8.8,0.841,0.192,17,0.143,0.031,,0.018,0.004,0
PNH000900,10-Jul-97,27,0.057,4.6,0.14,13.6,10.8,99,0.026,,870,1300,12.3,0.62,7.5,220,11.4,2.126,0.531,40,0.027,0.005,,0.04,0.006,0
STY000300,10-Jul-97,8,0.0015,1,0.07,3,11.2,99,0.012,,23,15,46.41,0.04,7.1,1000,8.9,0.381,0.826,195,0.074,0.017,,0.018,0.005,0
WGG000500,10-Jul-97,11,0.037,4.1,0.12,4.6,10.8,97,0.026,,1200,2700,24.1,0.38,7.1,180,9.4,1.652,0.424,36,0.082,0.019,,0.017,0.004,0
WKH000500,10-Jul-97,40,0.045,3.4,0.229,10.4,10.7,97,0.026,,450,1500,50.84,0.09,7.8,53,10,0.782,0.151,15,0.027,0.006,,0.045,0.011,0
MGH000950,13-Aug-97,29,0.032,1.8,0.14,8.9,10.7,94,0.004,,530,1700,13.41,0.138,7.4,43,8.9,0.62,0.11,24,0.067,0.011,,0.024,0.006,0
MRK000420,13-Aug-97,40,0.011,0.9,1.99,14.5,10.2,94,0.0015,,120,580,1.064,0.877,7.6,2,11.2,1.08,0.016,1.2,0.025,0.004,,0.024,0.006,0
PAT000200,13-Aug-97,3,0.0015,2.2,0.09,2.5,11,96,0.004,,25,23,18,0.009,6.5,160,7,1.13,0.281,31,0.086,0.014,,0.028,0.006,0
PAT000360,13-Aug-97,19,0.191,16,0.05,6.6,10.8,99,0.039,,3300,11300,77.53,0.421,7,360,10.1,4.5,1.39,80,0.07,0.011,,0.106,0.025,0.002
PNH000200,13-Aug-97,6,0.016,3,0.08,4.3,10.4,90,0.011,,350,3600,7.2,0.019,6.9,160,7.9,0.87,0.337,29,0.073,0.014,,0.04,0.009,0
PNH000900,13-Aug-97,32,0.024,1,1.74,15.6,10.6,96,0.022,,240,1900,0.973,0.907,7.6,3,10.8,1.13,0.046,1.8,0.036,0.004,,0.014,0.003,0
STY000300,13-Aug-97,28,0.0015,0.25,0.22,7.6,11.6,102,0.009,,6,60,34,0.019,7.7,250,8.8,0.09,0.141,8.9,0.015,0.004,,0.018,0.004,0
WGG000500,13-Aug-97,26,0.028,0.8,0.6,9.8,10.6,96,0.009,,500,2600,2.64,1.083,7.5,13,10.1,1.33,0.063,4.4,0.026,0.003,,0.108,0.025,0.001
WKH000500,13-Aug-97,44,0.012,0.5,1.97,11.8,10.8,97,0.016,,150,800,5.338,0.158,7.8,4,9.6,0.24,0.023,1.1,0.018,0.002,,0.015,0.004,0
MGH000950,10-Sep-97,46,0.0015,0.5,1.47,11.1,11.4,106,0.003,,3,35,4.12,0.108,7.9,1,11.3,0.47,0.008,2.2,0.042,0.008,,0.024,0.006,0
MRK000420,10-Sep-97,45,0.01,0.5,2.43,15.3,10.9,100,0.005,,54,340,0.821,0.867,7.6,1,11.3,1,0.013,0.85,0.017,0.003,,0.018,0.005,0.001
PAT000200,10-Sep-97,24,0.0015,0.25,3.44,7,11.2,99,0.017,,1,15,0.156,0.019,7.6,1,7.4,0.1,0.021,0.8,0.01,0.002,,0.03,0.008,0
PAT000360,10-Sep-97,29,0.025,0.7,1.1,10,12,109,0.031,,42,19,2.261,0.976,8.5,1,10,1.27,0.043,1.1,0.014,0.003,,0.015,0.004,0
PNH000200,10-Sep-97,24,0.006,0.25,1.82,8.7,10.9,101,0.023,,4,19,0.376,0.019,7.9,1,10.5,0.11,0.03,1.6,0.023,0.005,,0.017,0.004,0
PNH000900,10-Sep-97,39,0.123,3.6,0.75,16.9,11.6,106,0.094,,,20000,0.653,0.856,8.1,5,11.2,1.55,0.153,2.9,0.033,0.007,,0.024,0.006,0.001
STY000300,10-Sep-97,48,0.0015,0.25,3.44,11.7,11.8,104,0.015,,1,1,2.513,0.029,8,1,8.8,0.06,0.025,0.6,0.006,0.001,,0.015,0.003,0
WGG000500,10-Sep-97,31,0.008,0.6,1.71,11.9,12,112,0.004,,17,23,1.55,1.563,8.4,2,11.3,1.71,0.021,1.2,0.014,0.003,,0.02,0.004,0
WKH000500,10-Sep-97,61,0.0015,0.25,3.53,14.6,12.1,108,0.023,,7,54,2.936,0.029,8.4,1,9.5,0.06,0.028,0.4,0.01,0.002,,0.014,0.003,0
MGH000950,08-Oct-97,27,0.015,0.25,0.835,7.8,10.5,98,0.005,,63,380,12.57,0.178,7.4,9,11.6,0.38,0.028,3.5,0.037,0.007,,0.025,0.007,0.001
MRK000420,08-Oct-97,30,0.023,0.7,1.495,12.8,10.5,97,0.012,,71,740,2.97,1.295,7.1,5,11.5,1.79,0.032,1.3,0.022,0.006,,0.024,0.005,0
PAT000200,08-Oct-97,16,0.0015,0.25,4.015,5.3,11.1,99,0.014,,2,4,0.298,0.019,7.3,1,7.9,0.08,0.02,0.35,0.016,0.003,,0.02,0.005,0.001
PAT000360,08-Oct-97,25,0.092,0.8,1.49,9.6,10.8,101,0.029,,46,89,6.17,1.091,7.6,4,11.1,1.32,0.05,0.85,0.012,0.002,,0.08,0.018,0.001
PNH000200,08-Oct-97,20,0.006,0.25,1.845,8,10.9,100,0.019,,13,13,0.568,0.039,7.4,1,10.2,0.26,0.028,1.2,0.036,0.006,,0.064,0.014,0.001
PNH000900,08-Oct-97,31,0.036,1.2,1.42,16.2,11.3,103,0.032,,92,510,1.227,1.086,7.5,1,11.1,1.49,0.06,1.1,0.032,0.006,,0.019,0.005,0.001
STY000300,08-Oct-97,26,0.0015,0.25,1.05,7.8,11.3,99,0.014,,2,3,5.699,0.019,7.5,7,8.5,0.15,0.03,1.2,0.01,0.002,,0.019,0.004,0.001
WGG000500,08-Oct-97,26,0.031,0.9,1.295,11,10.8,100,0.014,,42,130,4.33,1.595,7.5,5,10.7,1.83,0.041,1.3,0.012,0.002,,0.024,0.007,0.001
WKH000500,08-Oct-97,29,0.0015,0.7,2.595,9,11.4,100,0.014,,11,250,7.07,0.109,7.4,1,8.6,0.3,0.023,0.5,0.021,0.004,,0.028,0.006,0
MGH000950,12-Nov-97,35,0.008,0.7,1.2,9.9,10,97,0.0015,,23,200,5.19,0.039,7.7,2,13.2,0.27,0.015,2.2,0.055,0.011,,0.017,0.004,0.001
MRK000420,12-Nov-97,47,0.008,0.5,2.8,16.4,10.1,97,0.0015,,110,660,0.665,0.716,7.6,1,13.1,0.93,0.011,0.95,0.027,0.005,,0.036,0.008,0
PAT000200,12-Nov-97,21,0.005,0.25,1.75,7.3,10.6,97,0.019,,23,300,0.28,0.009,7.5,2,9,0.09,0.027,0.65,0.018,0.004,,0.047,0.01,0
PAT000360,12-Nov-97,30,0.018,1.2,1.02,10.8,11.9,118,0.042,,28,180,1.91,0.828,8.2,1,13.8,1.05,0.068,1.2,0.021,0.005,,0.05,0.013,0.002
PNH000200,12-Nov-97,22,0.011,0.7,1.3,8.4,10.4,100,0.028,,110,1600,0.385,0.009,7.6,3,12.3,0.2,0.05,1.3,0.025,0.005,,0.016,0.004,0
PNH000900,12-Nov-97,37,0.02,1.3,1.36,17.9,10.5,99,0.032,,80,1100,0.689,0.718,7.8,2,12.6,1.06,0.061,1.3,0.032,0.006,,0.067,0.015,0
STY000300,12-Nov-97,40,0.0015,0.25,2.39,10.8,10.9,99,0.01,,13,39,4.2,0.009,7.8,1,10.3,0.08,0.02,0.6,0.005,0,,0.02,0.004,0
WGG000500,12-Nov-97,32,0.01,0.7,2.06,12.2,10.9,105,0.01,,70,140,1.05,1.221,7.8,1,12.4,1.42,0.023,0.85,0.018,0.004,,0.082,0.019,0.001
WKH000500,12-Nov-97,55,0.004,0.5,2.92,14.2,10.8,100,0.016,,21,290,3.091,0.009,7.9,1,11,0.11,0.028,0.6,0.011,0.002,,0.016,0.006,0.001
MGH000950,10-Dec-97,45,0.005,0.6,1.49,10,9.8,102,0.008,,29,310,4.57,0.059,7.9,2,16.6,0.25,0.02,2.2,0.053,0.011,,0.086,0.022,0.002
MRK000420,10-Dec-97,42,0.011,0.6,3.58,14.5,10.1,99,0.012,,60,690,1.013,0.838,7.7,1,14.3,1.06,0.018,0.75,0.021,0.004,,0.026,0.006,0
PAT000200,10-Dec-97,26,0.002,0.25,3.97,7.2,10.6,99,0.028,,1,14,0.148,0.009,7.7,1,9.8,0.12,0.034,0.3,0.012,0.002,,0.015,0.004,0.001
PAT000360,10-Dec-97,31,0.04,0.9,2.63,10.2,10.5,104,0.064,,200,880,1.69,0.838,8.1,2,13.7,1.17,0.102,1.1,0.023,0.005,,0.027,0.006,0
PNH000200,10-Dec-97,24,0.005,0.25,3.35,8.4,10.4,101,0.025,,23,510,0.347,0.019,7.7,1,12.4,0.13,0.029,0.9,0.027,0.006,,0.054,0.01,0.002
