"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"108347","lake karaka at centre","nrc-00077","50320","Polymictic","Aeolian","northland","nrc","unstated",-36.31387494,174.03843566,"14-Aug-2020"
"100425","lake rotoroa (aupouri) at north end","nrc-00085","23681","Polymictic","Aeolian","northland","nrc","unstated",-35.05479993,173.19736632,"14-Aug-2020"
"100593","lake mokeno at centre","nrc-00078","50314","Polymictic","Aeolian","northland","nrc","unstated",-36.35156929,174.06071244,"14-Aug-2020"
"101373","lake rotokawau (pouto) at centre","nrc-00084","50413","Stratified","Aeolian","northland","nrc","unstated",-36.35031805,174.14640594,"14-Aug-2020"
"101375","lake rototuna at centre","nrc-00086","50345","Polymictic","Aeolian","northland","nrc","unstated",-36.25095316,174.04011781,"14-Aug-2020"
"108346","lake wainui at centre","nrc-00091","17761","Stratified","Aeolian","northland","nrc","unstated",-36.10139927,173.88165958,"14-Aug-2020"
"101377","swan lake at centre","nrc-00094","50403","Polymictic","Aeolian","northland","nrc","unstated",-36.33093177,174.14214432,"14-Aug-2020"
"101930","lake waiporohita at centre","nrc-00096","24415","Polymictic","Aeolian","northland","nrc","unstated",-34.90141716,173.34820049,"14-Aug-2020"
"100501","lake omapere at outlet bridge (utakura river)","nrc-00095","23721","Polymictic","Volcanic","northland","nrc","unstated",-35.35921753,173.7726193,"14-Aug-2020"
"Lake Tuakitoto at Outlet","lake tuakitoto at outlet","orc-00035","44599","Polymictic","Riverine","otago","orc","unstated",-46.24012389,169.83285625,"14-Aug-2020"
"Lake Hawea Outflow at Dam","lake hawea outflow at dam","orc-00028","54736","Stratified","Glacial","otago","orc","unstated",-44.60996727,169.25099284,"14-Aug-2020"
"Lake Wakatipu at Outflow","lake wakatipu outflow","orc-00037","53532","Stratified","Glacial","otago","orc","unstated",-45.02805302,168.72602684,"14-Aug-2020"
"Lake Dunstan at Dead Mans Point","lake dunstan at dead mans point","orc-00027","54737","Polymictic","Dam","otago","orc","unstated",-45.037581,169.21927553,"14-Aug-2020"
"Lake Wanaka at Outlet","lake wanaka outflow","orc-00038","54672","Stratified","Glacial","otago","orc","unstated",-44.6637367,169.14910981,"14-Aug-2020"
"Lake Hayes at Bendemeer Bay","lake hayes","orc-00031","54190","Stratified","Glacial","otago","orc","unstated",-44.98194765,168.81587539,"14-Aug-2020"
"Lake Johnson at South Beach huts","lake johnson","orc-00033","53707","Stratified","Glacial","otago","orc","unstated",-45.00327651,168.73218701,"14-Aug-2020"
"Lake Onslow at Boat Ramp","lake onslow","orc-00034","1553","Stratified","Dam","otago","orc","unstated",-45.55231433,169.59697872,"14-Aug-2020"
"Lake Waihola at End of jetty","lake waihola","orc-00036","44391","Polymictic","Riverine","otago","orc","unstated",-46.02092062,170.09340775,"14-Aug-2020"
"Lake Waihola at Waihola Mid","lake waihola at waihola mid","lawa-102689","44391","Polymictic","Riverine","otago","orc","unstated",-46.01812761,170.0890583,"14-Aug-2020"
"Lake Hawea South Open Water 10m","lake hawea south open water 10m","lawa-102765","54736","Stratified","Glacial","otago","orc","unstated",-44.5452509,169.27493102,"14-Aug-2020"
"Lake Wanaka Open Water 10m","lake wanaka open water 10m","lawa-102688","54672","Stratified","Glacial","otago","orc","unstated",-44.65750844,169.09777312,"14-Aug-2020"
"Lake Wakatipu Open Water 10m","lake wakatipu open water 10m","lawa-102687","53532","Stratified","Glacial","otago","orc","unstated",-45.06071459,168.66957064,"14-Aug-2020"
"Lake Hayes at Mid Lake 10m","lake hayes at mid lake 10m","lawa-102686","54190","Stratified","Glacial","otago","orc","unstated",-44.97768912,168.81120126,"14-Aug-2020"
"LRT00H300","lake rotorangi l2 (tangahoe valley rd)","trc-00053","7506","Stratified","Dam","taranaki","trc","patea",-39.5019070947025,174.510329558029,"14-Aug-2020"
"LRT00H450","lake rotorangi l3 (dam)","trc-00051","7506","Stratified","Dam","taranaki","trc","patea",-39.5413037074268,174.570438048228,"14-Aug-2020"
"LRT00P100","lake rotorangi l1 (mangamingi)","trc-00052","7506","Stratified","Dam","taranaki","trc","patea",-39.4357754228822,174.478631971074,"14-Aug-2020"
"LRT00P300","lake rotorangi l2 (tangahoe valley rd)","trc-00053","7506","Stratified","Dam","taranaki","trc","patea",-39.5019070947025,174.510329558029,"14-Aug-2020"
"LRT00P450","lake rotorangi l3 (dam)","trc-00051","7506","Stratified","Dam","taranaki","trc","patea",-39.5413037074268,174.570438048228,"14-Aug-2020"
"LRT00S300","lake rotorangi l2 (tangahoe valley rd)","trc-00053","7506","Stratified","Dam","taranaki","trc","patea",-39.4357754228822,174.478631971074,"14-Aug-2020"
